Project,Client,Description,Duration
Broken-links,,Добавление в полную проверку sitemap-store и sitemap-feed,02:44:01
Sysstat,,"Добавление в performance данных о connectionType и speed, добавление этих параметров в api",01:19:37
Sysstat,,Добавление в performance данных о user-agent,01:25:22
Sysstat,,Добавление новых полей в performance,00:55:25
Sysstat,,Добавление параметра hasCCode и исправление ограничения кол-ва данных от одного ip,01:37:28
Sysstat,,Доработка sysstat,01:00:46
Sysstat,,"Доработки: проверка на ботов, удаление нулей, вывод новых данных, фильтрация по стране в перформанс",02:34:56
Sysstat,,Ограничение данных по кол-ву от одного пользователя и по значениям в /performance,01:13:00
Sysstat,,Парсинг юзерангентов в /performance,01:17:19
Sysstat,,"Поиск, почему не сохраняются события в js errors",04:55:53
Sysstat,,Фильтрация записей с нулями,00:31:53
tilda telegram news,,Исправление отображения ссылок,00:44:30
tilda-search,,Деплой проекта на сервер,03:21:40
tilda-search,,Добавление данных о разделе в теги товаров и реализация парсинга товара из api каталога,02:33:50
tilda-search,,Добавление записи логов в индекс,01:13:27
tilda-search,,Добавление индекса для проектов,01:16:16
tilda-search,,Добавление логов в файлы,01:12:20
tilda-search,,Добавление поиска по товарам и приведение ответа к формату ответа текущего сервиса поиска,03:28:00
tilda-search,,Добавление фидов в индекс,02:38:48
tilda-search,,Доработка парсера для индексации товаров,05:49:38
tilda-search,,Доработка парсинга,02:57:00
tilda-search,,"Доработка поиска по страницам, разделение standart токенайзера и ngram",01:38:59
tilda-search,,Исправиление бага с дублированием http/https ссылок,01:54:03
tilda-search,,Исправление бага с загрузкой картинки в эластик,00:36:18
tilda-search,,Исправление удаления нужных ссылок из эластика,02:04:09
tilda-search,,Написание скрипта удаления старых логов,01:03:31
tilda-search,,Поиск багов в текущей версии проекта,01:51:39
tilda-search,,"Поиск, почему не работает поиск по артикулу",00:37:56
tilda-search,,Проверка парсинга данных товаров,00:48:42
tilda-search,,Разделение сайтмапов,01:31:16
tilda-search,,Реализация получения товаров из store набором,05:06:24
tilda-search,,Рефакторинг RSS,00:56:53
tilda-search,,Скрипт для переиндексации по крону,00:29:50
tilda-search,,Скрипт обновления дат для реиндексации проекта,01:29:53
tilda-search,,Создание force_reindex скрипта,01:31:14
tilda-search,,"Создание алгоритма выборки данных, когда в эластике у одного товара несколько цен/изображений/описаний/артикулов",00:36:08
tilda-search,,Создание механизма удаления неактивных записей,01:54:21
tilda-search,,Сохранение даты последней индексации проекта,00:28:26
tilda-search,,Тестирование,01:56:09
tilda-search,,Удаление тегов из данных,02:24:55
Поддержка,,Ответы на вопросы Евгения по итогам 3 недель в тикетной,00:35:10
Поддержка,,Ответы на тикеты,01:36:43
